name,original_ideal_for,cleaned_ideal_for,needs_manual_review
Google for Startups MENA,"Find out more Startup School From Google to you A comprehensive series of guided online trainings, d",early-stage startups,False
EDA Industry Transformation Grants,"Through its Planning and Local Technical Assistance programs, EDA assists eligible recipients in dev","Through its Planning and Local Technical Assistance programs, EDA assists eligible recipients in developing economic development plans and studies des...",True
Capital One Mobility Program,can lower your payment Pre-Qualify for Refinancing Check eligibility with no credit impact Auto over,can lower your payment Pre-Qualify for Refinancing Check eligibility with no credit impact Auto overview Auto overview Get,True
HHS SBIR/STTR (March),Contact & Help Search Small Business Funding Product Development Support Entrepreneurial Training --,small businesses,False
Moderne Passport,"From 2007 to 2016, Schneider was President of Capital One’s Card division, its largest business, whe",small businesses,False
SXSW Pitch Competition,"Explore categories below for important deadlines, eligibility requirements, and more on how to becom","Explore categories below for important deadlines, eligibility requirements, and more on how to become part of the SX event each March in Austin, TX.",True
Startmate Accelerator,3M Pre-Seed to roll out insurance-at-checkout vision.,3M Pre-Seed to roll out insurance-at-checkout vision.,True
NASE Growth Grants (Q1 Review),"Members who are employees of the NASE, sales associates, field service representatives, or contracte","Members who are employees of the NASE, sales associates, field service representatives, or contracted by the NASE are not eligible for this program.",True
NSF I-Corps,Organizations that are eligible to submit proposals to NSF include institutions of higher education;,Nonprofits,True
HerSuiteSpot Hustler's Microgrant,"all business in need of support? What would you do with a $1,000 business grant? Deja Vu Parker of W",small businesses,False
Santander Cultivate Small Business Grant,"End-to-end compliance procedures, real-time processing and tools that ensure a consistent experience","End-to-end compliance procedures, real-time processing and tools that ensure a consistent experience (even when regulatory requirements change) underp...",True
TechRise Pitch Competition,"Chicagoland early-stage entrepreneurs | Weekly Friday competitions on Zoom | Amount: $25,000-$50,000",Entrepreneurs,True
Render Capital,"B2B/SaaS startups | Mixed grants and non-dilutive funding | Award: Varies | Location: Louisville, KY",Startups,True
43North,"Eligibility and Applications To be eligible, applications must be submitted via 43North’s website at","Eligibility and Applications To be eligible, applications must be submitted via 43North’s website at 43North.",True
AAUW Career Development Grants,Ready to see if you qualify? Review the eligibility requirements and application instructions to fin,Ready to see if you qualify? Review the eligibility requirements and application instructions to find the best fit for your goals! Applications for th...,True
Amber Grant,"At the end of each year, monthly grant winners are eligible to receive one of three $25,000 annual g","At the end of each year, monthly grant winners are eligible to receive one of three $25,000 annual grants.",True
Amber Grant for Women,"At the end of each year, monthly grant winners are eligible to receive one of three $25,000 annual g","At the end of each year, monthly grant winners are eligible to receive one of three $25,000 annual grants.",True
American Family Institute Innovation Grant,"InsurTech and related technology startups | InsurTech specific, American Family partnership opportun",tech startups,False
American Underground - Launch Challenge,"Early-stage startups in the Southeast | Southeast regional, NC-based | Award: $10K-$25K | Location: ",early-stage startups,False
Arch Grants,Competition Eligibility Questions about Startup Competition eligibility.,Startups,True
Awesome Foundation,volunteer Book Buddies and Certified Reading Dog Teams. Funding from the FDC Foundation will support,volunteer Book Buddies and Certified Reading Dog Teams. Funding from the FDC Foundation will support our work in,True
Backstage Capital Accelerator,Statements  contained  herein  as  to  the  content  of  any  agreements  or  other  documents  are ,"Statements contained herein as to the content of any agreements or other documents are summaries and, therefore, are necessarily selective and incompl...",True
Baylor New Venture Competition - Round 2,"University students/alumni | Top 50 submit full business plan, Finals March 27-28 2026, partnered wi",Students,True
Capital One Business Grants,can lower your payment Pre-Qualify for Refinancing Check eligibility with no credit impact Auto over,can lower your payment Pre-Qualify for Refinancing Check eligibility with no credit impact Auto overview Auto overview Get,True
Cartier Women's Initiative,"t=this.data.related_content?this.data.related_content[0].pages:this.data.pages,i=0;i 0?e(""div"",{stat","t=this.data.related_content?this.data.related_content[0].pages:this.data.pages,i=0;i 0?e(""div"",{staticClass:""related-content__cards""},[e(""Cards"",{attr...",True
Chicago Innovation Exchange Accelerator,Learn More Entrepreneurship Through Acquisition Program A suite of programs and resources designed t,small businesses,False
CodeLaunch USA 2026,&#8221; This requirement sets CodeLaunch apart from other competitions.,&#8221; This requirement sets CodeLaunch apart from other competitions.,True
Dream Big Competition (BMO),"Students in Chicago Public Schools with business ideas | High school competition, Chicago-focused | ",Students,True
EDA Disaster Supplemental - Industry Transformation,Designated Tech Hubs became eligible to apply for Implementation awards supporting projects in workf,Startups,True
EDA Tech Hubs - Stage II,Designated Tech Hubs became eligible to apply for Implementation awards supporting projects in workf,Startups,True
EIC Accelerator Step 2 - 1st Cutoff 2026,elerator call underscores relevance of new instrument Strong level of participation demonstrates the,elerator call underscores relevance of new instrument Strong level of participation demonstrates the growing momentum of deep-tech innovation across w...,True
EIC Accelerator Step 2 - 2nd Cutoff 2026,elerator call underscores relevance of new instrument Strong level of participation demonstrates the,elerator call underscores relevance of new instrument Strong level of participation demonstrates the growing momentum of deep-tech innovation across w...,True
Earth Rising Foundation Grants,"offer material support for actions, which can include funding for consultants, transportation, and e","offer material support for actions, which can include funding for consultants, transportation, and equipment. We also support educational",True
Elevate Ventures - Community Ideation Fund,Do you currently meet or are you willing to meet these requirements? Please select.,Do you currently meet or are you willing to meet these requirements? Please select.,True
Elevate Ventures - Pre-Seed Accelerator Fund,Do you currently meet or are you willing to meet these requirements? Please select.,Do you currently meet or are you willing to meet these requirements? Please select.,True
Faire Small Business Grant,"in one place The best selection of brands for your store, all in one place Sign up to buy Sign up to",small businesses,False
Fast Forward Nonprofit Accelerator,"Tech nonprofits using tech for social impact | For registered nonprofits only, tech for good focus |",Nonprofits,True
FedEx Small Business Grant,"Small businesses with compelling stories | Public voting component, marketing value for participants",small businesses,False
Forum Ventures - Launch,"We do this through a series of free events, podcasts, books, research products, and by investing mil",early-stage startups,False
Freed Fellowship,"Freed Fellows are also eligible to receive an additional end-of-year grant of $2,500.","Freed Fellows are also eligible to receive an additional end-of-year grant of $2,500.",True
Global Insurance Accelerator 2026,Typical profile of a startup who applies Early-stage insurtech company (Pre-seed to seed stage) Insu,"Startups, Founders",True
Halcyon Incubator,"Since 2014, Halcyon’s fellowships for early-stage social entrepreneurs have provided space, communit","Startups, Entrepreneurs",True
Heartland Challenge,"Midwest startups with scalable solutions | Midwest regional competition, various prize tiers | Award",Startups,True
Hello Tomorrow Global Challenge,"In the EU especially, stringent compliance requirements and bills introducing restrictions on altern","In the EU especially, stringent compliance requirements and bills introducing restrictions on alternative protein R&amp;D have deterred investment and...",True
Illinois SBDC - Innovation Voucher,"Besides ensuring contractors comply with the Illinois Works requirements, this initiative connects c","Besides ensuring contractors comply with the Illinois Works requirements, this initiative connects contractors on active projects to pre-apprentices a...",True
Inc.U Competition (Invent Penn State),"Who’s Eligible to Apply Eligible Students: To apply, you must be a current undergraduate student at ",Students,True
Lake Forest College Venture Design Challenge 2026,Who is eligible? 1.,,True
LaunchKC Grants — 2026 Cohort,"Competition Eligibility Who is eligible to apply? At LaunchKC, we look for companies that are: For-p","Competition Eligibility Who is eligible to apply? At LaunchKC, we look for companies that are: For-profit entities with technology-based products, ser...",True
MassChallenge HealthTech,Our Traction programs help early-stage founders access those networks.,Founders,True
Ilitch School Tech Pitch (Finalists),"Investment Fund (SMIF),&nbsp;who voted&nbsp;on&nbsp;a winner.&nbsp;The SMIF was created with&nbsp;in","Investment Fund (SMIF),&nbsp;who voted&nbsp;on&nbsp;a winner.&nbsp;The SMIF was created with&nbsp;initial&nbsp;seed funding from Fifth-Third Bank.&nbs...",True
Slauson & Co - Friends & Family,"Pre-seed | LA-based, remote-friendly | Award: Varies | Location: Global | Deadline: Rolling","Pre-seed | LA-based, remote-friendly | Award: Varies | Location: Global | Deadline: Rolling",True
USDA SBIR/STTR Program,Am I Eligible? | NIFA Skip to main content An official website of the United States government Here',Am I Eligible? | NIFA Skip to main content An official website of the United States government Here's how you know Here's how you know Contact Us The ...,True
America's Seed Fund – NSF SBIR/STTR,SBIR proposals do not require that the startup partner with an eligible research institution.,Startups,True
DOE SBIR/STTR,"$1,100,000
• 2 years duration
• ~30 awards per year

Phase IIC
• Pilot program to leverage 
1:1 matc",small businesses,False
DHS SBIR,Check out the table below for eligibility requirements on our tools and programs.,Check out the table below for eligibility requirements on our tools and programs.,True
NASA SBIR/STTR,SBIR/STTR Program The NASA Small Business Innovation Research / Small Business Technology Transfer (,small businesses,False
EPA SBIR,This technology can be used by oil and gas operators looking to reduce their fugitive methane emissi,This technology can be used by oil and gas operators looking to reduce their fugitive methane emissions and meet the regulatory requirements for emiss...,True
NIH SEED (SBIR/STTR),Contact & Help Search Small Business Funding Product Development Support Entrepreneurial Training --,small businesses,False
NEA Grants for Arts Projects,"12 

Eligibility .",,True
NEA Challenge America,Eligibility Review the GAP Program Guidelines document below for full details.,Eligibility Review the GAP Program Guidelines document below for full details.,True
NEH Public Humanities Projects,NEH program officers check applications for eligibility and assign them to panels based on academic ,"NEH program officers check applications for eligibility and assign them to panels based on academic discipline, institutional type, project area, or p...",True
SBIR.gov (Program Overview),nnovation ecosystem Community Event Spotlight News and Events Newsletter Sign-up Federal and State T,nnovation ecosystem Community Event Spotlight News and Events Newsletter Sign-up Federal and State Technology (FAST) Growth Accelerator Fund Competiti...,True
NIH SBIR/STTR Program Basics,Contact & Help Search Small Business Funding Product Development Support Entrepreneurial Training --,small businesses,False
Precursor Ventures,Precursor Ventures is a classic pre-seed and seed stage venture capital firm investing in long-term ,Founders,True
Floodgate,ers Your First True Believers Your First True Believers Your First True Believers Your First True Be,Founders,True
Initialized Capital,"&nbsp; THE ROAD AHEAD From our first check at the Seed stage to this Series B, the team has remained","&nbsp; THE ROAD AHEAD From our first check at the Seed stage to this Series B, the team has remained focused on a singular mission: bringing modern ef...",True
Pear VC,Pejman Nozad Frequently asked questions Who is eligible for this program? Any person with Iranian he,"Startups, Founders",True
Founder Collective,"What We Believe Meet the Collective We’re stage-focused (seed and pre-seed), sector agnostic, and pr","What We Believe Meet the Collective We’re stage-focused (seed and pre-seed), sector agnostic, and proudly anti-thematic.",True
Susa Ventures,Susa Ventures Team Investors Platform &amp; Operations Emeritus Portfolio What We Look For Jobs Blog,Susa Ventures Team Investors Platform &amp; Operations Emeritus Portfolio What We Look For Jobs Blog Susa Ventures is a seed-stage fund that helps you...,True
Ubiquity Ventures,steps(8)}@keyframes fa-spin{0%{transform:rotate(0deg)}to{transform:rotate(1turn)}}.fa-rotate-90{-ms-,"steps(8)}@keyframes fa-spin{0%{transform:rotate(0deg)}to{transform:rotate(1turn)}}.fa-rotate-90{-ms-filter:""progid:DXImageTransform.Microsoft.BasicIma...",True
Afore Capital,"” Vikram Jayanthi &amp; Shankar Krishnan Co-founders of PromptArmor Meet Afore Founded in 2016, we a",Founders,True
Amplify.LA,"SafeRide Health , a digital health platform that enables providers to facilitate medically qualified","SafeRide Health , a digital health platform that enables providers to facilitate medically qualified non-emergency medical transportation (NEMT) for p...",True
MaC Venture Capital,About News & Insights Connect Menu Close Portfolio Team About News / Insights Connect Subscribe to o,Founders,True
Underscore VC,Read more here! It Takes a Community Underscore VC is a Boston-based venture capital firm backing bo,Entrepreneurs,True
Tusk Venture Partners,Any such offer or solicitation will be made separately and only by means of confidential offering do,Any such offer or solicitation will be made separately and only by means of confidential offering documents specific to the relevant investment fund o...,True
Bullpen Capital,Deal Partner Paul Martino Invested in 2020 Model Enterprise Category Apps &amp; Services Fund IV Sta,small businesses,False
RRE Ventures,RRE: Early-Stage Venture Capital Partner PORTFOLIO TEAM Backing the best for the distance Founding a,"RRE: Early-Stage Venture Capital Partner PORTFOLIO TEAM Backing the best for the distance Founding a world-changing company is a marathon, not a sprin...",True
ff Venture Capital,“This partnership and the growth of venture capital and early-stage investment in the region is anot,“This partnership and the growth of venture capital and early-stage investment in the region is another sign of the strength of Central New York&#8217...,True
Shasta Ventures,""" Guru Hariharan CEO Commerce IQ Committed to Passionate Entrepreneurs We are an early-stage venture","Startups, Entrepreneurs",True
Village Global,Investing | Village Global NETWORK INVESTING PORTFOLIO INSIGHTS EVENTS TEAM NETWORK INVESTING PORTFO,Investing | Village Global NETWORK INVESTING PORTFOLIO INSIGHTS EVENTS TEAM NETWORK INVESTING PORTFOLIO INSIGHTS EVENTS TEAM how we invest how we inve...,True
Long Journey Ventures,Cyan Banister Co-Founder &amp; General Partner Cyan is one of Silicon Valley’s most respected early-,Founders,True
