name,amount_min_usd,amount_max_usd,amount_label,confidence,source
LaunchKC Grants — 2026 Cohort,,,,,
MassChallenge HealthTech,0.0,100000.0,Up to $100K (non-dilutive),,Known program: MassChallenge
Ilitch School Tech Pitch (Finalists),,,,,
Slauson & Co - Friends & Family,,,,,
USDA SBIR/STTR Program,100000.0,750000.0,$100K-$750K,medium,Known program: USDA
America's Seed Fund – NSF SBIR/STTR,50000.0,1000000.0,$50K-$1M,medium,Known program: NSF
DOE SBIR/STTR,200000.0,2000000.0,$200K-$2M,medium,Known program: DOE
DHS SBIR,,,,,
NASA SBIR/STTR,125000.0,850000.0,$125K-$850K,medium,Known program: NASA
EPA SBIR,,,,,
NIH SEED (SBIR/STTR),150000.0,2000000.0,$150K-$2M,medium,Known program: NIH
NEA Grants for Arts Projects,,,,,
NEA Challenge America,,,,,
NEH Public Humanities Projects,,,,,
SBIR.gov (Program Overview),,,,,
NIH SBIR/STTR Program Basics,150000.0,2000000.0,$150K-$2M,medium,Known program: NIH
Precursor Ventures,,,,,
Floodgate,,,,,
Initialized Capital,,,,,
Pear VC,,,,,
Founder Collective,,,,,
Susa Ventures,,,,,
Ubiquity Ventures,,,,,
Afore Capital,,,,,
Amplify.LA,,,,,
MaC Venture Capital,,,,,
Underscore VC,,,,,
Tusk Venture Partners,,,,,
Bullpen Capital,,,,,
RRE Ventures,,,,,
ff Venture Capital,,,,,
Shasta Ventures,,,,,
Village Global,,,,,
Long Journey Ventures,,,,,
