SERIAL_ID,Opportunity Name,Organization,Amount,Deadline,Category,Source File,Confidence,DUP_FLAG,SIMILAR_TO,KEEP,Notes
CSH-CMP-027,PropTech Startup Showdown SXSW,Realtor.com/NAR,$5000,2026-01-23,PropTech,hot-deals-jan2026,90,SIMILAR,CSH-CMP-027-B,VERIFY,Check against capital-access entry
CSH-CMP-027-B,PropTech SXSW Showdown,SXSW,Competition prizes,TBD,PropTech,capital-access-validated,NOT VERIFIED,SIMILAR,CSH-CMP-027,REMOVE,Less verified version
CSH-GRT-028,Agriculture Industries Innovation AU,NSW Government,Varies,2026-01-23,Agriculture,hot-deals-jan2026,75,UNIQUE,,YES,Australia only
CSH-FEL-029,Mastercard Foundation EdTech,Mastercard Foundation/MEST,$60000,2026-01-30,EdTech Africa,hot-deals-jan2026,VERIFIED,UNIQUE,,YES,African EdTech
CSH-GRT-030,FruitGuys Community Fund,FruitGuys,$5000,2026-01-30,Agriculture,hot-deals-jan2026,85,UNIQUE,,YES,Small farms <250 acres
CSH-CMP-031,Sustainability Open Innovation,Enterprise Singapore,S$100K,2026-01-30,Sustainability,hot-deals-jan2026,85,UNIQUE,,YES,Singapore/Asia
CSH-GRT-032,Women Founders Grant,Women Founders Grant,$5000,2026-01-31,Women-Owned,hot-deals-jan2026,85,UNIQUE,,YES,Monthly rolling
CSH-ACC-033,Startmate ANZ,Startmate,$75K/7.5%,2026-01-31,FinTech/EdTech,hot-deals-jan2026,90,UNIQUE,,YES,Australia/NZ
CSH-CMP-034,Rice Veterans Pitch Competition,Rice University,$30000,2026-01-31,Veterans,hot-deals-jan2026,90,UNIQUE,,YES,Veteran entrepreneurs
CSH-CMP-035,Flywheel Investment Conference,Flywheel,Investment,2026-01-31,All Sectors,hot-deals-jan2026,70,UNIQUE,,VERIFY,Lower confidence
CSH-GRT-036,Skip's $10K Kickoff Grants,Skip,$10000,2026-01-31,All Sectors,hot-deals-jan2026,85,UNIQUE,,YES,Two grants available
CSH-GRT-037,Breva Thrive Grant,Breva,$5000,2026-01-31,Community Impact,hot-deals-jan2026,85,UNIQUE,,YES,Quarterly LMI areas
CSH-GRT-038,EmpowHer Grant,Boundless Futures,$25000,2026-01-31,Women,hot-deals-jan2026,VERIFIED,UNIQUE,,YES,Quarterly reimbursement
CSH-GRT-039,Citizens NYC Microgrants,Citizens Bank,$5000,2026-02-02,Small Business,hot-deals-jan2026,80,UNIQUE,,YES,NYC only
CSH-GRT-040,Neurodiverse Entrepreneur Program,Various,Varies,2026-02-02,Accessibility,hot-deals-jan2026,65,UNIQUE,,VERIFY,Lower confidence
CSH-ACC-041,Berkeley SkyDeck Batch 22,UC Berkeley,Accelerator,2026-02-13,All Sectors,hot-deals-jan2026,VERIFIED,UNIQUE,,YES,Silicon Valley acceleration
CSH-GRT-042,Farmer Veteran Fellowship,Farmer Veteran Coalition,Varies,2026-02-14,Veterans,hot-deals-jan2026,85,UNIQUE,,YES,Veteran farmers
CSH-GRT-043,Intuit Small Business Hero,Intuit QuickBooks,$20000,2026-02-14,All Sectors,hot-deals-jan2026,90,UNIQUE,,YES,Quarterly three winners
CSH-CMP-044,Space Symposium Pitch,Space Foundation,$5000+,2026-02-15,Space,hot-deals-jan2026,85,UNIQUE,,YES,Space industry
CSH-CMP-045,Space Symposium Innovate,Space Foundation,Varies,2026-02-15,Space,hot-deals-jan2026,85,SIMILAR,CSH-CMP-044,VERIFY,Same event different track?
CSH-ACC-046,Electrify Nevada Accelerator,Various,Varies,2026-02-22,CleanTech,hot-deals-jan2026,75,UNIQUE,,YES,EV Nevada focus
CSH-CMP-047,CNBC Disruptor 50 2026,CNBC,PR/Recognition,2026-02-23,All Innovation,hot-deals-jan2026,95,UNIQUE,,YES,Major PR value
CSH-CMP-048,Launch Your Venture Embry-Riddle,Embry-Riddle,$10000,2026-02-24,Aviation,hot-deals-jan2026,85,UNIQUE,,YES,Aviation/aerospace students
CSH-GRT-049,SoGal Black Founder Grant,SoGal Ventures,$10000,Rolling,Diversity,hot-deals-jan2026,90,UNIQUE,,YES,Monthly selection
CSH-ACC-050,EIC Accelerator Step 2,EU Innovation Council,€2.5M,2026-01-07,Deep Tech,hot-deals-jan2026,95,UNIQUE,,CHECK DEADLINE,European deep tech
CSH-GRT-051,D-Prize,D-Prize,$20000,Spring 2026,Social Impact,hot-deals-jan2026,90,UNIQUE,,YES,Awaiting launch date
CSH-GRT-052,AU-EU Youth Action Lab,AU-EU,€30000,2026-01-07,Youth Africa,hot-deals-jan2026,75,UNIQUE,,CHECK DEADLINE,May have passed
