ID,Opportunity Name,Organization,Amount,Deadline,Focus Area,Eligibility,Source URL,Confidence Score,Verification Status,Notes,Already In DB
30,NGO Whisperer Global Fellowship,NGO Whisperer,Fellowship,Jan 16 2026,NGO/Social Enterprise,NGO and social enterprise leaders low/middle income countries,https://ngowhisperer.org/,70,NEEDS VERIFICATION,7-month virtual program,NO
31,EIT Community NEB Startup Accelerator,EIT,Accelerator,Jan 19 2026,Impact-Driven Startups,Impact-driven startups wanting to grow,https://eit.europa.eu/,85,NEEDS VERIFICATION,European accelerator program,NO
32,Breva Thrive Grant,Breva,$5000,Jan 31 2026,Community Impact,US revenue-generating businesses community impact,https://breva.io/,85,NEEDS VERIFICATION,Quarterly awards preference for LMI areas,NO
33,Sustainability Open Innovation Challenge,Enterprise Singapore,S$100K pool,Jan 30 2026,Sustainability,Startups and innovators sustainability focus,https://enterprisesg.gov.sg/,85,NEEDS VERIFICATION,7th Edition Hexagon Group support,NO
34,Rice Veterans Pitch Competition,Rice University,$30000 total,Jan 31 2026,Veteran Entrepreneurs,Military veteran entrepreneurs,https://rbpc.rice.edu/veterans,90,NEEDS VERIFICATION,$15K first $10K second $5K third,NO
35,Farmer Veteran Fellowship Fund,Farmer Veteran Coalition,Varies,Feb 14 2026,Veteran Farmers,Veteran farmers,https://farmvetco.org/,85,NEEDS VERIFICATION,Applications open January 2026,NO
36,Berkeley SkyDeck,UC Berkeley,Accelerator,Feb 13 2026,FinTech/Blockchain/All,Startups seeking Silicon Valley acceleration,https://skydeck.berkeley.edu/,95,NEEDS VERIFICATION,6-month BAM program investor introductions,NO
37,Space Symposium Pitch Competition,Space Foundation,$5000,Feb 15 2026,Space Industry,Space industry startups,https://www.spacesymposium.org/pitch,90,NEEDS VERIFICATION,Premier space startup showcase,NO
38,Space Symposium Innovate Pitch,Space Foundation,$Varies,Feb 15 2026,Space Innovation,Space innovation startups,https://www.spacesymposium.org/innovate,90,NEEDS VERIFICATION,Industry government investment judges,NO
39,CNBC Disruptor 50 2026,CNBC,Recognition/PR,Feb 23 2026,All Innovation,Venture-backed companies founded after Jan 2011,https://www.cnbc.com/disruptor-50/,95,NEEDS VERIFICATION,14th annual list AI innovators,NO
40,Mastercard Foundation EdTech Fellowship,Mastercard Foundation/MEST,$60000,Jan 30 2026,EdTech Africa,African EdTech ventures growth stage,https://meltwater.org/edtech-fellowship/,95,NEEDS VERIFICATION,Equity-free plus structured curriculum,NO
41,PropTech Startup Showdown SXSW,Realtor.com/NAR,$5000,Jan 23 2026,PropTech/Real Estate,Early and growth stage PropTech,https://www.prnewswire.com/proptech-showdown,90,NEEDS VERIFICATION,6 finalists 4-min pitches Second Century Ventures,NO
42,FY 2026 Robust Retail Citywide DC,DC Government,Up to $10000,Jan 20 2026,Retail DC,DC-based retail businesses,https://dslbd.dc.gov/robustretailgrant,95,NEEDS VERIFICATION,~50 businesses funded $500K total,NO
43,FY26 Great Streets Retail DC,DC Government,Varies,Jan 16 2026,Retail DC Corridors,DC businesses in Great Streets Corridors,https://greatstreets.dc.gov/,90,NEEDS VERIFICATION,Location-specific grant,NO
44,Penn Startup Challenge,UPenn,$200000+ prizes,Already Passed Jan 11,Student Startups,Penn university students,https://venturelab.upenn.edu/,95,CLOSED,Live pitch May 1 2026,NO
45,Launch Your Venture Embry-Riddle,Embry-Riddle,$10000,Feb 24 2026,Aviation/Aerospace/Engineering,University students aviation aerospace engineering,https://embryriddle.edu/,85,NEEDS VERIFICATION,Revolutionary aviation aerospace ideas,NO
